x,y
41106,34718
39022,34156
37297,34162
35459,34653
33558,35965
32813,36652
33450,39587
33898,44103
33335,45635
32413,47952
30629,50430
29876,54184
53298,57480
71377,48579
64710,42094
62520,40355
62949,38919
58867,35714
58744,38783
56740,40246
53371,41209
49080,42607
46425,42319
41731,40822
40082,39546
39723,37509
41106,34718
